land_a,land_b,gedeelde_moleculen,a_eerst,b_eerst,gelijke_dag,aandeel_a_eerst,mediaan_dagen,spreiding_dagen,kwartiel_25,kwartiel_75
FR,SI,35,17,18,0,0.486,-18,859.4,-937.0,202.0
AT,AU,117,57,60,0,0.487,-14,614.8,-241.0,169.5
DK,IE,43,21,22,0,0.488,-7,478.4,-437.0,214.0
AU,ES,205,100,105,0,0.488,-4,837.0,-180.0,247.0
DE,FR,41,20,21,0,0.488,-6,600.3,-238.5,232.0
AU,EE,45,23,22,0,0.511,18,493.6,-231.0,189.5
ES,SE,201,102,99,0,0.507,8,569.4,-181.5,185.5
JP,RO,168,85,83,0,0.506,23.5,1057.8,-802.0,351.5
DK,EE,16,8,8,0,0.5,32.0,400.2,-370.8,242.8
DE,ES,106,53,53,0,0.5,0.0,746.4,-214.2,260.0
EE,FR,20,10,10,0,0.5,-2.0,399.1,-129.0,171.5
