country_code,country_name,source,medicine_name,active_substance,active_substance_lt,strength,dosage_form,atc_code,product_no,marketing_auth_holder,status,scraped_at
LT,Lithuania,VVKT,Mitaclau,Desmopressin,Desmopresinas,240 µg,poliežuvinės tabletės,H01BA02,LT/1/23/5228/004,UAB Norameda,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Inosine dimepranol acedoben Creative Pharma Solutions,Inosine pranobex,Inozinas,500 mg,tabletės,J05AX05,LT/1/26/5964/001,Creative Pharma Solutions s.r.o.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Balutar,Perindopril and bisoprolol,Bizoprololio fumaratas/Perindoprilio argininas,10 mg/10 mg,plėvele dengtos tabletės,C09BX02,LT/1/25/5839/005,"KRKA, d.d., Novo mesto",shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Tolmiduo,Telmisartan and diuretics,Telmisartanas/Indapamidas,"40 mg/1,5 mg",modifikuoto atpalaidavimo tabletės,C09DA07,LT/1/24/5609/002,"KRKA, d.d., Novo mesto",shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Torasemide Auxilia [Torasemide SANUS],Torasemide,Torazemidas,5 mg,tabletės,C03CA04,LT/1/25/5768/001,MB Sanus24,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Xaboplax,Rivaroxaban,Rivaroksabanas,"2,5 mg",plėvele dengtos tabletės,B01AF01,LT/1/23/5285/010,Sandoz d.d.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,NATRIXAM,Amlodipine and diuretics,Indapamidas/Amlodipinas,"1,5 mg/5 mg",modifikuoto atpalaidavimo tabletės,C08GA02,LT/L/21/1481/002,UAB Lex ano,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Rivaroxaban STADA,Rivaroxaban,Rivaroksabanas,20 mg,plėvele dengtos tabletės,B01AF01,LT/1/22/5068/009,STADA Arzneimittel AG,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Melatonin Orion,Melatonin,Melatoninas,3 mg,tabletės,N05CH01,LT/1/26/5974/002,Orion Corporation,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Edoxaban Polpharma,Edoxaban,Edoksabanas,60 mg,plėvele dengtos tabletės,B01AF03,LT/1/26/5952/006,Pharmaceutical Works POLPHARMA S.A.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Sertraline Auro,Sertraline,Sertralinas,50 mg,plėvele dengtos tabletės,N06AB06,LT/L/16/0397/001,"Lex ano, UAB",shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Lynxaram,Linagliptin,Linagliptinas,5 mg,plėvele dengtos tabletės,A10BH05,LT/1/25/5809/037,"KRKA, d.d., Novo mesto",shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Fenodex,Dexketoprofen,Deksketoprofenas,25 mg,plėvele dengtos tabletės,M01AE17,LT/1/22/5034/006,Medochemie Ltd.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,detralex,"Diosmin, combinations",Mikronizuota ir išgryninta flavonoidų frakcija (Diosminas/Hesperidinas),500 mg (450 mg/50 mg),plėvele dengtos tabletės,C05CA53,LT/L/22/1711/001,UAB Lex ano,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Tobrex,Tobramycin,Tobramicinas,3 mg/ml,akių lašai (tirpalas),S01AA12,LT/L/23/1872/001,UAB Ideal Trade Links,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Teriflunomide Glenmark,Teriflunomide,Teriflunomidas,14 mg,plėvele dengtos tabletės,L04AK02,LT/1/25/5780/003,Glenmark Pharmaceuticals s.r.o.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Taflotan,Tafluprost,Tafluprostas,15 µg/ml,akių lašai (tirpalas),S01EE05,LT/L/24/2228/001,UAB Niromed,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Lynxaram,Linagliptin,Linagliptinas,5 mg,plėvele dengtos tabletės,A10BH05,LT/1/25/5809/026,"KRKA, d.d., Novo mesto",shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Sirdalud,Tizanidine,Tizanidinas,2 mg,tabletės,M03BX02,LT/L/21/1552/001,UAB Lex ano,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Brirem,Ticagrelor,Tikagreloras,90 mg,plėvele dengtos tabletės,B01AC24,LT/1/24/5552/007,Remedica Ltd.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Cetirizine LIVSANE [Cetirizine pxgpharma],Cetirizine,Cetirizino dihidrochloridas,10 mg,plėvele dengtos tabletės,R06AE07,LT/1/24/5332/007,PXG Pharma GmbH,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Razarxo,Rivaroxaban,Rivaroksabanas,20 mg,plėvele dengtos tabletės,B01AF01,LT/1/24/5344/013,TAD Pharma GmbH,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,detralex,"Diosmin, combinations",Mikronizuota ir išgryninta flavonoidų frakcija (Diosminas/Hesperidinas),500 mg (450 mg/50 mg),plėvele dengtos tabletės,C05CA53,LT/L/10/0026/001,UAB Lex ano,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Aboxoma,Apixaban,Apiksabanas,"2,5 mg",plėvele dengtos tabletės,B01AF02,LT/1/21/4842/003,"KRKA, d.d., Novo mesto",shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Betadine,Povidone-iodine,"Povidonas, joduotas",100 mg/ml,odos tirpalas,D08AG02,LT/L/25/2557/001,UAB Niromed,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Dexmedetomidine Kalceks,Dexmedetomidine,Deksmedetomidinas,100 µg/ml,koncentratas infuziniam tirpalui,N05CM18,LT/L/24/2065/004,Rx vaistinė,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,VISIPAQUE,Iodixanol,Jodiksanolis,652 mg/ml,injekcinis tirpalas,V08AB09,LT/L/19/1143/004,UAB Adeofarma,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Dapagliflozin STADA,Dapagliflozin,Dapagliflozinas,5 mg,plėvele dengtos tabletės,A10BK01,LT/1/26/5943/013,STADA Arzneimittel AG,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Abiraterone Zentiva,Abiraterone,Abiraterono acetatas,500 mg,plėvele dengtos tabletės,L02BX03,LT/1/21/4854/001,Zentiva k.s.,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Pantoprazol BIJON,Pantoprazole,Pantoprazolas,20 mg,skrandyje neirios tabletės,A02BC02,LT/L/21/1483/003,UAB BIJON medica,shortage,2026-03-14T16:16:25.666545
LT,Lithuania,VVKT,Razarxo,Rivaroxaban,Rivaroksabanas,15 mg,plėvele dengtos tabletės,B01AF01,LT/1/24/5343/016,TAD Pharma GmbH,shortage,2026-03-14T16:16:25.666545
