country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,marketing_auth_holder,shortage_start,estimated_end,status,reason,alternative,scraped_at,prk
HU,Hungary,OGYEI,ABELCET LIPID KOMPLEX 5 mg/ml koncentrátum diszperziós infúzióhoz,amphotericin B,,10 X 20 ml injekciós üvegben,OGYI-T-06918/01,J02AA01,Teva Gyógyszergyár Zrt.,2022-02-09,,shortage,"Hatóanyag, vagy egyéb alapanyag ellátási probléma","Azonos hatóanyag, azonos gyógyszerformában elérhetõ",2026-09-21T13:18:30.632962,61611
HU,Hungary,OGYEI,ABIRATERONE QILU 250 mg tabletta,abiraterone acetate,,120 X   - HDPE tartályban,OGYI-T-24062/01,L02BX03,Qilu Pharma Spain S.L.,2024-11-19,2025-12-31,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más hatáserõsségben elérhetõ,2026-09-21T13:18:30.633062,100846
HU,Hungary,OGYEI,ACC 20 mg/ml belsõleges oldat,acetylcysteine,,1 X 200 ml üvegben,OGYI-T-02021/15,R05CB01,Sandoz Hungária Kft.,2018-09-04,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-09-21T13:18:30.633127,49476
HU,Hungary,OGYEI,ACC 200 mg pezsgõtabletta,acetylcysteine,,20 X   - tasakban,OGYI-T-02021/09,R05CB01,Sandoz Hungária Kft.,2026-07-28,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más gyógyszerformában elérhetõ,2026-09-21T13:18:30.633183,40010
HU,Hungary,OGYEI,ACC HOT 600 mg por belsõleges oldathoz,acetylcysteine,,10 X   - tasakban,OGYI-T-02021/18,R05CB01,Sandoz Hungária Kft.,2025-11-27,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más hatáserõsségben elérhetõ,2026-09-21T13:18:30.633240,34789
HU,Hungary,OGYEI,ACC LONG 600 mg pezsgõtabletta,acetylcysteine,,12 X   - tasakban,OGYI-T-02021/22,R05CB01,Sandoz Hungária Kft.,2020-09-30,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-09-21T13:18:30.633291,25038
HU,Hungary,OGYEI,ACICLOVIR NORIDEM 250 mg por oldatos infúzióhoz,aciclovir,,5 X   - injekciós üvegben,OGYI-T-24171/02,J05AB01,Noridem Enterprises Ltd,2024-12-18,2026-12-31,shortage,Gyártási gond,Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ,2026-09-21T13:18:30.633349,45276
HU,Hungary,OGYEI,ACICLOVIR ROMPHARM 250 mg por oldatos infúzióhoz,aciclovir,,1 X   - injekciós üvegben,OGYI-T-24435/01,J05AB01,S.C. Rompharm Company S.R.L.,2025-01-22,,shortage,Gyártási gond,Ugyanaz a gyógyszer más kiszerelésben elérhetõ,2026-09-21T13:18:30.633404,45276
HU,Hungary,OGYEI,ACIDA 20 mg gyomornedv-ellenálló tabletta,pantoprazole,,7 X   - buborékcsomagolásban,OGYI-T-21209/01,A02BC02,"Zentiva, k.s.",2014-02-19,,shortage,Forgalmazói piaci megfontolások,Ugyanaz a gyógyszer más gyógyszerformában elérhetõ,2026-09-21T13:18:30.633454,52272
HU,Hungary,OGYEI,ACIPHEN kenõcs,diethylamin salicylate,,1 X 20 g tubusban,OGYI-T-03201/01,M02AC19,Wagner-Pharma Kft.,2023-12-14,,shortage,Forgalmazói piaci megfontolások,Ugyanabban vagy hasonló indikációban más gyógyszer elérhetõ,2026-09-21T13:18:30.633502,
