country_code,country_name,source,medicine_name,full_name,active_substance,strength,package_size,dosage_form,atc_code,marketing_auth_holder,market_status,market_status_code,status,scraped_at
SI,Slovenia,CBZ,INFANRIX HEXA,INFANRIX HEXA prašek in suspenzija za suspenzijo za injiciranje,"diphtheriae, haemophili influenzae B, pertussis, poliomyelitidis, tetani et hepatitidis B vaccinum combinatum",,1 viala s praškom + 1 napolnjena injekcijska brizga + 2 inj.igla,prašek in suspenzija za suspenzijo za injiciranje,J07CA09,GlaxoSmithKline Biologicals S.A.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.451833
SI,Slovenia,CBZ,INFANRIX HEXA,INFANRIX HEXA prašek in suspenzija za suspenzijo za injiciranje,"diphtheriae, haemophili influenzae B, pertussis, poliomyelitidis, tetani et hepatitidis B vaccinum combinatum",,10x( viala s praškom + napolnjena injekcijska brizga + 2 inj.igla),prašek in suspenzija za suspenzijo za injiciranje,J07CA09,GlaxoSmithKline Biologicals S.A.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.451833
SI,Slovenia,CBZ,Norprolac,Norprolac 75 mikrogramov tablete,quinagolidum,,škatla s 30 tabletami (3 x 10 tablet v pretisnem omotu),tableta,G02CB04,Ferring GmbH,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.452842
SI,Slovenia,CBZ,Ciprofloksacin Lek,Ciprofloksacin Lek 400 mg/ 200 ml raztopina za infundiranje,ciprofloxacinum,,škatla s 5 vialami z 200 ml raztopine,raztopina za infundiranje,J01MA02,Lek d.d.,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.452842
SI,Slovenia,CBZ,Cefzil,CEFZIL 250 mg filmsko obložene tablete,cefprozilum,,škatla z 10 tabletami (1 x 10 tablet v pretisnem omotu),filmsko obložena tableta,J01DC10,Bausch Health Ireland Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.452842
SI,Slovenia,CBZ,Cefzil,CEFZIL 250 mg/5 ml zrnca za peroralno suspenzijo,cefprozilum,,škatla s plastenko z zrnci za pripravo 60 ml suspenzije in merilno žlièko,zrnca za peroralno suspenzijo,J01DC10,Bausch Health Ireland Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.452842
SI,Slovenia,CBZ,Boostrix,Boostrix suspenzija za injiciranje v napolnjeni injekcijski brizgi,"vaccinum pertussis antigenis purificatis, in combinationibus cum anatoxinis",,"škatla z 1 napolnjeno injekcijsko brizgo z 0,5 ml suspenzije in 1 injekcijsko iglo",suspenzija za injiciranje v napolnjeni injekcijski brizgi,J07AJ52,GlaxoSmithKline Biologicals S.A.,Potekajoèa motnja v preskrbi,5,shortage,2026-03-14T16:09:12.452842
SI,Slovenia,CBZ,Lekadol,LEKADOL 500 mg filmsko obložene tablete,paracetamolum,,škatla z 18 tabletami (3 x 6 tablet v pretisnem omotu),filmsko obložena tableta,N02BE01,Lek d.d.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.452842
SI,Slovenia,CBZ,Anastrozol Teva,Anastrozol Teva 1 mg filmsko obložene tablete,anastrozolum,,škatla z 28 tabletami (4 x 7 tablet v pretisnem omotu),filmsko obložena tableta,L02BG03,Teva Pharma B.V.,Napovedano zaèasno prenehanje opravljanja prometa,4,upcoming,2026-03-14T16:09:12.452842
SI,Slovenia,CBZ,Arlevert,Arlevert 20 mg/40 mg tablete,cinnarizini combinationes,,škatla z 20 tabletami (1 x 20 tablet v pretisnem omotu),tableta,N07CA52,Hennig Arzneimittel,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-03-14T16:09:12.452842
