country_code,country_name,source,medicine_name,active_substance,active_substance_lt,strength,dosage_form,atc_code,product_no,marketing_auth_holder,status,scraped_at,prk
LT,Lithuania,VVKT,Torasemide Auxilia [Torasemide SANUS],Torasemide,Torazemidas,5 mg,tabletės,C03CA04,LT/1/25/5768/001,MB Sanus24,shortage,2026-07-23T11:41:58.342184,
LT,Lithuania,VVKT,Xaboplax,Rivaroxaban,Rivaroksabanas,"2,5 mg",plėvele dengtos tabletės,B01AF01,LT/1/23/5285/010,Sandoz d.d.,shortage,2026-07-23T11:41:58.342186,117250
LT,Lithuania,VVKT,NATRIXAM,Amlodipine and diuretics,Indapamidas/Amlodipinas,"1,5 mg/5 mg",modifikuoto atpalaidavimo tabletės,C08GA02,LT/L/21/1481/002,UAB Lex ano,shortage,2026-07-23T11:41:58.342188,123528
LT,Lithuania,VVKT,Rivaroxaban STADA,Rivaroxaban,Rivaroksabanas,20 mg,plėvele dengtos tabletės,B01AF01,LT/1/22/5068/009,STADA Arzneimittel AG,shortage,2026-07-23T11:41:58.342189,100153
LT,Lithuania,VVKT,Melatonin Orion,Melatonin,Melatoninas,3 mg,tabletės,N05CH01,LT/1/26/5974/002,Orion Corporation,shortage,2026-07-23T11:41:58.342190,106607
LT,Lithuania,VVKT,Edoxaban Polpharma,Edoxaban,Edoksabanas,60 mg,plėvele dengtos tabletės,B01AF03,LT/1/26/5952/006,Pharmaceutical Works POLPHARMA S.A.,shortage,2026-07-23T11:41:58.342192,128201
LT,Lithuania,VVKT,Sertraline Auro,Sertraline,Sertralinas,50 mg,plėvele dengtos tabletės,N06AB06,LT/L/16/0397/001,"Lex ano, UAB",shortage,2026-07-23T11:41:58.342193,39403
LT,Lithuania,VVKT,Lynxaram,Linagliptin,Linagliptinas,5 mg,plėvele dengtos tabletės,A10BH05,LT/1/25/5809/037,"KRKA, d.d., Novo mesto",shortage,2026-07-23T11:41:58.342194,101125
LT,Lithuania,VVKT,Fenodex,Dexketoprofen,Deksketoprofenas,25 mg,plėvele dengtos tabletės,M01AE17,LT/1/22/5034/006,Medochemie Ltd.,shortage,2026-07-23T11:41:58.342196,55794
LT,Lithuania,VVKT,detralex,"Diosmin, combinations",Mikronizuota ir išgryninta flavonoidų frakcija (Diosminas/Hesperidinas),500 mg (450 mg/50 mg),plėvele dengtos tabletės,C05CA53,LT/L/22/1711/001,UAB Lex ano,shortage,2026-07-23T11:41:58.342198,
LT,Lithuania,VVKT,Tobrex,Tobramycin,Tobramicinas,3 mg/ml,akių lašai (tirpalas),S01AA12,LT/L/23/1872/001,UAB Ideal Trade Links,shortage,2026-07-23T11:41:58.342200,
LT,Lithuania,VVKT,Teriflunomide Glenmark,Teriflunomide,Teriflunomidas,14 mg,plėvele dengtos tabletės,L04AK02,LT/1/25/5780/003,Glenmark Pharmaceuticals s.r.o.,shortage,2026-07-23T11:41:58.342201,117838
LT,Lithuania,VVKT,Taflotan,Tafluprost,Tafluprostas,15 µg/ml,akių lašai (tirpalas),S01EE05,LT/L/24/2228/001,UAB Niromed,shortage,2026-07-23T11:41:58.342202,212164
LT,Lithuania,VVKT,Lynxaram,Linagliptin,Linagliptinas,5 mg,plėvele dengtos tabletės,A10BH05,LT/1/25/5809/026,"KRKA, d.d., Novo mesto",shortage,2026-07-23T11:41:58.342203,101125
LT,Lithuania,VVKT,Sirdalud,Tizanidine,Tizanidinas,2 mg,tabletės,M03BX02,LT/L/21/1552/001,UAB Lex ano,shortage,2026-07-23T11:41:58.342204,22993
