country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,product_no,shortage_start,estimated_end,status,reason,notes,scraped_at
IT,Italy,AIFA,GANAZOLO,ECONAZOLO NITRATO,10 mg/g crema,,,33340011,2026-05-01,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.226885
IT,Italy,AIFA,GARDASIL,"VACCINO PAPILLOMAVIRUS UMANO (TIPI UMANI 6,11,16,18)","""0,5 ML SOSPENSIONE INIETTABILE USO INTRAMUSCOLARE"" 1 SIRINGA   PRERIEMPITA (VETRO)+ 2 AGHI",,,37311077,2020-03-06,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.226885
IT,Italy,AIFA,GASTROGRAFIN,AMIDOTRIZOATO SODICO + MEGLUMINA AMIDOTRIZOATO,"""370 MG IODIO/ML SOLUZIONE GASTROENTERICA"" FLACONE 100 ML",,,23085020,2026-02-18,,shortage - end date unknown,Problemi produttivi,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.226885
IT,Italy,AIFA,GAVISCON,SODIO ALGINATO + SODIO BICARBONATO,"""500 MG/10 ML + 267 MG/10 ML SOSPENSIONE ORALE AROMA MENTA"" FLACONE DA 200 ML",,,24352092,2014-11-01,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.226885
IT,Italy,AIFA,GAVISCON,SODIO ALGINATO + SODIO BICARBONATO,"""500 MG/10 ML + 267 MG/10 ML SOSPENSIONE ORALE"" FLACONE 200 ML",,,24352039,2023-01-12,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.227886
IT,Italy,AIFA,GAVISCON,SODIO ALGINATO + SODIO BICARBONATO,"""250 MG + 133,5 MG COMPRESSA MASTICABILE GUSTO FRAGOLA"" 16 COMPRESSE IN CONTENITORE CON TAPPO A SCATTO",,,24352231,2023-01-25,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.227886
IT,Italy,AIFA,GAVISCON,SODIO ALGINATO + SODIO BICARBONATO,"""250 MG + 133,5 MG COMPRESSE MASTICABILI GUSTO MENTA"" 48 COMPRESSE",,,24352181,2024-05-21,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.227886
IT,Italy,AIFA,GAVISCON ADVANCE,POTASSIO BICARBONATO + SODIO ALGINATO,«500mg/5ml + 100mg/5ml sospensione orale» - flacone da 200  ml,,,34248043,2023-03-15,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.227886
IT,Italy,AIFA,GAVISCON ADVANCE,POTASSIO BICARBONATO + SODIO ALGINATO,«500mg/5ml + 100mg/5ml sospensione orale gusto  menta»  flacone da 200 ml,,,34248284,2022-12-11,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.227886
IT,Italy,AIFA,GAVISCON BRUCIORE E INDIGESTIONE,CALCIO CARBONATO + SODIO ALGINATO + SODIO BICARBONATO,"""500 MG + 213 MG + 325 MG SOSPENSIONE ORALE GUSTO MENTA"" 48 BUSTINE PET/AL/PE DA 10 ML",,,41545056,2024-12-04,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.228886
IT,Italy,AIFA,GEALEVIDE,AMISULPRIDE,"""400 MG COMPRESSE"" 30 COMPRESSE IN BLISTER PVC/PVDC/AL",,N05AL05,46308159,2025-03-31,,shortage - end date unknown,Cessata commercializzazione temporanea,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.228886
IT,Italy,AIFA,GEFITINIB EG,GEFITINIB,"""250 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE IN BLISTER OPA/AL/PVC/AL DIVISIBILE PER DOSE UNITARIA",,L01EB01,45992029,2025-02-21,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.228886
IT,Italy,AIFA,GEFITINIB MEDAC,GEFITINIB,"""250 MG COMPRESSE RIVESTITE CON FILM"" 30 COMPRESSE IN BLISTER OPA/AL/PVC/AL",,L01EB01,46409013,2026-03-20,,shortage - end date unknown,Problemi regolatori,"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-03-12T15:53:52.228886
IT,Italy,AIFA,GEMCITABINA ACCORD,GEMCITABINA CLORIDRATO,"""100 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 15 ML",,,40928032,2017-12-01,,shortage - end date unknown,Cessata commercializzazione definitiva,Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G,2026-03-12T15:53:52.229885
IT,Italy,AIFA,GEMCITABINA ACCORD,GEMCITABINA CLORIDRATO,"""100 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 2 ML",,,40928018,2024-02-21,,shortage - end date unknown,Problemi produttivi,"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-03-12T15:53:52.229885
IT,Italy,AIFA,GEMCITABINA AUROBINDO PHARMA ITALIA,GEMCITABINA CLORIDRATO,"""40 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 25 ML",,,44078020,2025-03-05,,shortage - end date unknown,Problemi produttivi (carenza relativa solo al canale ospedaliero),"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-03-12T15:53:52.229885
IT,Italy,AIFA,GEMCITABINA AUROBINDO PHARMA ITALIA,GEMCITABINA CLORIDRATO,"""40 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 50 ML",,,44078032,2025-04-05,,shortage - end date unknown,Problemi produttivi (carenza relativa solo al canale ospedaliero),"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-03-12T15:53:52.229885
IT,Italy,AIFA,GEMCITABINA SUN,GEMCITABINA CLORIDRATO,"""1 G POLVERE PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO DI VETRO DA 50 ML",,,38815027,2024-03-31,,shortage - end date unknown,Problemi produttivi: forniture discontinue,"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-03-12T15:53:52.229885
IT,Italy,AIFA,GEMCITABINA SUN PHARMA,GEMCITABINA,"""10 MG/ML SOLUZIONE PER INFUSIONE"" 1 SACCA STERILE IN PLASTICA DA 200 ML",,,44167056,2025-05-20,,shortage - end date unknown,Problemi produttivi: distribuzione contingentata,"Si rilascia autorizzazione allimportazione alle strutture sanitarie per analogo autorizzato allestero, nel caso in cui le strutture interessate riscontrino discontinuità nella fornitura, a livello delle reti distributive cui hanno accesso",2026-03-12T15:53:52.230882
