country_code,country_name,source,medicine_name,atc_code,active_substance,dosage_form,strength,marketing_auth_holder,status,detail_url,scraped_at,prk
EE,Estonia,RAVIMIAMET,LOCERYL,D01AE16,amorolfiin,ravimküünelakk,50mg 1ml,Globalex Pharma OÜ,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=413a4ce6-27a1-4aff-85b3-61f92830bf8b,2026-09-21T16:19:40.863516,
EE,Estonia,RAVIMIAMET,Loxicom,M01AC06,meloksikaam,suukaudne suspensioon,"1,5mg 1ml",Norbrook Laboratories (Ireland) Limited,shortage,https://www.ravimiregister.ee/Default.aspx?pv=VetRavimid.Ravim&vid=369714f4-153f-45bc-ad21-01089d0dd08a,2026-09-21T16:19:40.863532,
EE,Estonia,RAVIMIAMET,LUNALDIN,N02AB03,fentanüül,keelealune tablett,100mcg,Gruenenthal GmbH,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=fdeda8c1-9663-450f-84e3-4b0e09bdb508,2026-09-21T16:19:40.863548,
EE,Estonia,RAVIMIAMET,MEBENDAZOLE-GRINDEKS,P02CA01,mebendasool,tablett,100mg,Grindeks AS,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=d3f36b32-ac09-41be-9efb-528aa2231450,2026-09-21T16:19:40.863565,2798
EE,Estonia,RAVIMIAMET,MEDROL,H02AB04,metüülprednisoloon,tablett,16mg,Lex Ano UAB,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=0c608bfd-127d-42f8-bdd7-98cbd8a25e8d,2026-09-21T16:19:40.863581,
EE,Estonia,RAVIMIAMET,METFORMIN HYDROCHLORIDE/SITAGLIPTIN GRINDEKS,A10BD07,metformiin +sitagliptiin,õhukese polümeerikattega tablett,1000mg +50mg,Grindeks AS,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=8ed985e6-f63e-4039-a859-0b04ba1d7358,2026-09-21T16:19:40.863597,218154
EE,Estonia,RAVIMIAMET,MIDAZOLAM KALCEKS,N05CD08,midasolaam,süste-/infusioonilahus,5mg 1ml,Kalceks AS,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=6845b7da-8aee-4798-9d85-1a131b341172,2026-09-21T16:19:40.863613,
EE,Estonia,RAVIMIAMET,MONTELUKAST ACCORD,R03DC03,montelukast,õhukese polümeerikattega tablett,10mg,Accord Healthcare B.V.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=11d5bad5-60ba-49b4-8c23-8273e123cb33,2026-09-21T16:19:40.863629,52051
EE,Estonia,RAVIMIAMET,MONTELUKAST ACCORD,R03DC03,montelukast,närimistablett,4mg,Accord Healthcare B.V.,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=3eb53c32-15f4-43a2-a755-bbd21cd345f7,2026-09-21T16:19:40.863645,67857
EE,Estonia,RAVIMIAMET,NEOTIGASON,D05BB02,atsitretiin,kõvakapsel,10mg,First Pharma OÜ,shortage,https://www.ravimiregister.ee/Default.aspx?pv=HumRavimid.Ravim&vid=992c6544-5d5e-48d0-8f66-f932ec34a17c,2026-09-21T16:19:40.863661,29866
