country_code,country_name,source,medicine_name,full_name,active_substance,strength,package_size,dosage_form,atc_code,marketing_auth_holder,market_status,market_status_code,status,scraped_at,prk
SI,Slovenia,CBZ,SMOFlipid,SMOFlipid 200 mg/ml emulzija za infundiranje,emulsiones lipidicae,,škatla z 10 steklenicami z 250 ml raztopine,emulzija za infundiranje,B05BA02,Fresenius Kabi Austria GmbH.,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292410,88137
SI,Slovenia,CBZ,Amdut,"Amdut 0,5 mg mehke kapsule",dutasteridum,,škatla z 90 kapsulami (6 x 15 kapsul v pretisnem omotu),"kapsula, mehka",G04CB02,APTA MEDICA INTERNACIONAL d.o.o.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292420,68195
SI,Slovenia,CBZ,Alopurinol Sandoz,Alopurinol Sandoz 100 mg tablete,allopurinolum,,škatla s 100 tabletami (10 x 10 tablet v pretisnem omotu),tableta,M04AA01,Sandoz d.d.,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292430,671
SI,Slovenia,CBZ,Alopurinol Sandoz,Alopurinol Sandoz 300 mg tablete,allopurinolum,,škatla s 30 tabletami (3 x 10 tablet v pretisnem omotu),tableta,M04AA01,Sandoz d.d.,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292440,671
SI,Slovenia,CBZ,Irinotekan Accord,Irinotekan Accord 20 mg/ml koncentrat za raztopino za infundiranje,,,škatla z 1 vialo s 5 ml koncentrata,koncentrat za raztopino za infundiranje,L01CE02,Accord Healthcare Polska Sp. z.o.o.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292451,51047
SI,Slovenia,CBZ,Rosacta,Rosacta krema,Alia praeparata topica ad dolores musculorum et articulorum,,"Škatla s 90 g kreme, v tubi",krema,,Medis GmbH,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292461,
SI,Slovenia,CBZ,Bivalirudin Accord,Bivalirudin Accord 250 mg prašek za koncentrat za raztopino za injiciranje/infundiranje,bivalirudinum,,škatla s 5 vialami s praškom,prašek za koncentrat za raztopino za injiciranje/infundiranje,B01AE06,Accord Healthcare Polska Sp. z.o.o.,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292471,93521
SI,Slovenia,CBZ,Bivalirudin Accord,Bivalirudin Accord 250 mg prašek za koncentrat za raztopino za injiciranje/infundiranje,bivalirudinum,,škatla z 1 vialo s praškom,prašek za koncentrat za raztopino za injiciranje/infundiranje,B01AE06,Accord Healthcare Polska Sp. z.o.o.,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292481,93521
SI,Slovenia,CBZ,Eptifibatid Accord,Eptifibatid Accord 2 mg/ml raztopina za injiciranje,eptifibatidum,,škatla z 1 vialo z 10 ml raztopine,raztopina za injiciranje,B01AC16,Accord Healthcare S.L.U.,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292491,53716
SI,Slovenia,CBZ,Amcandin,Amcandin 8 mg/5 mg trde kapsule,candesartanum et amlodipinum,,škatla z 28 kapsulami (4 x 7 kapsul v pretisnem omotu),"kapsula, trda",C09DB07,Sandoz d.d.,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292502,
SI,Slovenia,CBZ,Spectrila,Spectrila 10.000 e. prašek za koncentrat za raztopino za infundiranje,asparaginasum,,škatla z 1 vialo,prašek za koncentrat za raztopino za infundiranje,L01XX02,Medac GmbH,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292512,137561
SI,Slovenia,CBZ,Mydrane,"Mydrane 0,2 mg/ml + 3,1 mg/ml + 10 mg/ml raztopina za injiciranje",tropicamidi combinationes,,"škatla z 20 ampulami (5 x 4 ampule v pretisnem omotu) z 0,6 ml raztopine in 20 iglami s 5-mikronskim filtrom v pretisnem omotu",raztopina za injiciranje,S01FA56,Laboratoires Thea,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292522,217050
SI,Slovenia,CBZ,Aripiprazol Mylan Pharma,Aripiprazol Mylan Pharma 10 mg tablete,aripiprazolum,,škatla z 28 tabletami v pretisnih omotih,tableta,N05AX12,Mylan Pharmaceuticals Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292532,
SI,Slovenia,CBZ,Aripiprazol Mylan Pharma,Aripiprazol Mylan Pharma 15 mg tablete,aripiprazolum,,škatla z 28 tabletami v pretisnih omotih,tableta,N05AX12,Mylan Pharmaceuticals Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292542,
SI,Slovenia,CBZ,Duloksetin Viatris,Duloksetin Viatris 30 mg trde gastrorezistentne kapsule,duloxetinum,,škatla z 28 kapsulami v pretisnih omotih iz OPA/Alu/PVC-Alu,"gastrorezistentna kapsula, trda",N06AX21,Viatris Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292553,79057
SI,Slovenia,CBZ,Duloksetin Viatris,Duloksetin Viatris 60 mg trde gastrorezistentne kapsule,duloxetinum,,škatla z 28 kapsulami v pretisnih omotih iz OPA/Alu/PVC-Alu,"gastrorezistentna kapsula, trda",N06AX21,Viatris Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292563,79057
SI,Slovenia,CBZ,Mysildecard,Mysildecard 20 mg filmsko obložene tablete,sildenafilum,,škatla z 90 tabletami v pretisnih omotih,filmsko obložena tableta,G04BE03,Viatris Limited,Potekajoèe zaèasno prenehanje opravljanja prometa,6,shortage,2026-09-21T13:23:43.292573,
SI,Slovenia,CBZ,Vinorelbin Accord,Vinorelbin Accord 10 mg/ml koncentrat za raztopino za infundiranje,vinorelbinum,,škatla z 1 vialo z 1 ml koncentrata,koncentrat za raztopino za infundiranje,L01CA04,Accord Healthcare Polska Sp. z.o.o.,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292583,58815
SI,Slovenia,CBZ,Velphoro,Velphoro 500 mg žveèljive tablete,sucroferri(III) oxyhydroxidum,,škatla z 1 plastenko z 90 tabletami,žveèljiva tableta,V03AE05,Vifor Fresenius Medical Care Renal Pharma France,Potekajoèa motnja v preskrbi,5,shortage,2026-09-21T13:23:43.292594,129496
