country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,product_no,shortage_start,estimated_end,status,scraped_at
LV,Latvia,ZVA,Betac 20 mg film-coated tablets,Betaxololi hydrochloridum,20 mg,30 pcs,S01ED02,04-0209-01,2025-09-18,,shortage - end date unknown,2026-03-12T15:53:45.037510
LV,Latvia,ZVA,Betaklav 500 mg/125 mg film-coated tablets,"Amoxicillinum, Acidum clavulanicum",500 mg/125 mg,20 pcs,J01CA04,15-0237-15,2022-11-07,,shortage - end date unknown,2026-03-12T15:53:45.037510
LV,Latvia,ZVA,Betaloc ZOK 100 mg prolonged release tablets,Metoprololi succinas,100 mg,30 pcs,C07AB02,I000270-01,2020-02-26,,shortage - end date unknown,2026-03-12T15:53:45.037510
LV,Latvia,ZVA,Betaloc ZOK 50 mg prolonged release tablets,Metoprololi succinas,50 mg,30 pcs,C07AB02,I000269-01,2020-05-12,,shortage - end date unknown,2026-03-12T15:53:45.037510
LV,Latvia,ZVA,Betaserc 24 mg tablets,Betahistini dihydrochloridum,24 mg,60 pcs,,I000611-01,2020-08-25,,shortage - end date unknown,2026-03-12T15:53:45.037510
LV,Latvia,ZVA,Betaserc 8 mg tablets,Betahistini dihydrochloridum,8 mg,100 pcs,,00-0129-01,2023-10-23,,shortage - end date unknown,2026-03-12T15:53:45.037510
LV,Latvia,ZVA,Bicalutamide Grindeks 50 mg film-coated tablets,Bicalutamidum,50 mg,28 pcs,,10-0042-03,2020-05-11,,shortage - end date unknown,2026-03-12T15:53:45.037510
LV,Latvia,ZVA,Bicalutamide TEVA 50 mg film-coated tablets,Bicalutamidum,50 mg,28 pcs,,07-0139-02,2025-03-01,,shortage - end date unknown,2026-03-12T15:53:45.037510
LV,Latvia,ZVA,Bilobil 120 mg hard capsules,Ginkgonis extractum siccum raffinatum et quantificatum,120 mg,60 pcs,,11-0117-02,2019-12-30,,shortage - end date unknown,2026-03-12T15:53:45.037510
LV,Latvia,ZVA,"Bimican 0.3 mg/ml eye drops, solution",Bimatoprostum,"0,9 mg/3 ml",1 pc,S01EE03,14-0001-01,2020-01-20,,shortage - end date unknown,2026-03-12T15:53:45.037510
LV,Latvia,ZVA,Bisogamma 10 mg film-coated tablets,Bisoprololi fumaras,10 mg,30 pcs,C07AB07,04-0021-01,2025-07-31,,shortage - end date unknown,2026-03-12T15:53:45.038511
LV,Latvia,ZVA,Bisogamma 5 mg film-coated tablets,Bisoprololi fumaras,5 mg,30 pcs,C07AB07,04-0020-01,2025-10-10,,shortage - end date unknown,2026-03-12T15:53:45.038511
LV,Latvia,ZVA,Bisoprolol Accord 10 mg film-coated tablets,Bisoprololi fumaras,10 mg,30 pcs,C07AB07,15-0337-03,2025-01-01,,shortage - end date unknown,2026-03-12T15:53:45.038511
LV,Latvia,ZVA,Bisoprolol Accord 5 mg film-coated tablets,Bisoprololi fumaras,5 mg,30 pcs,C07AB07,15-0336-03,2025-01-01,,shortage - end date unknown,2026-03-12T15:53:45.038511
LV,Latvia,ZVA,Bisoprolol Vitabalans 5 mg tablets,Bisoprololi hemifumaras,5 mg,100 pcs,C07AB07,08-0337-08,2025-01-02,,shortage - end date unknown,2026-03-12T15:53:45.038511
LV,Latvia,ZVA,Bisoprolol Vitabalans 5 mg tablets,Bisoprololi hemifumaras,5 mg,100 pcs,C07AB07,08-0337-17,2025-01-01,,shortage - end date unknown,2026-03-12T15:53:45.038511
LV,Latvia,ZVA,Bisoprolol Zentiva 10 mg tablets,Bisoprololi fumaras,10 mg,30 pcs,C07AB07,21-0066-09,2025-06-05,,shortage - end date unknown,2026-03-12T15:53:45.038511
LV,Latvia,ZVA,Bisoprolol Zentiva 5 mg tablets,Bisoprololi fumaras,5 mg,30 pcs,C07AB07,21-0065-08,2025-11-01,,shortage - end date unknown,2026-03-12T15:53:45.038511
LV,Latvia,ZVA,Bisoprolol Zentiva 5 mg tablets,Bisoprololi fumaras,5 mg,30 pcs,C07AB07,21-0065-02,2025-10-30,,shortage - end date unknown,2026-03-12T15:53:45.038511
LV,Latvia,ZVA,Bixebra 5 mg film-coated tablets,Ivabradinum,5 mg,56 pcs,,16-0142-04,2022-11-07,,shortage - end date unknown,2026-03-12T15:53:45.038511
LV,Latvia,ZVA,Bixebra 5 mg film-coated tablets,Ivabradinum,5 mg,112 pcs,,16-0142-09,2022-11-07,,shortage - end date unknown,2026-03-12T15:53:45.039509
LV,Latvia,ZVA,Bixebra 7.5 mg film-coated tablets,Ivabradinum,"7,5 mg",56 pcs,,16-0143-04,2022-11-07,,shortage - end date unknown,2026-03-12T15:53:45.039509
LV,Latvia,ZVA,Bixebra 7.5 mg film-coated tablets,Ivabradinum,"7,5 mg",112 pcs,,16-0143-09,2022-11-07,,shortage - end date unknown,2026-03-12T15:53:45.039509
